Gene Symbol	Name	Entrez GeneId	Genome Location	Tier	Hallmark	Chr Band	Somatic	Germline	Tumour Types(Somatic)	Tumour Types(Germline)	Cancer Syndrome	Tissue Type	Molecular Genetics	Role in Cancer	Mutation Types	Translocation Partner	Other Germline Mut	Other Syndrome	Synonyms
ERBB4	erb-b2 receptor tyrosine kinase 4	2066	2:211383615-212538530	1	Yes	2q33.3-q34	yes	yes	"melanoma, gastric, NSCLC"			E	Dom	"oncogene, TSG"	"Mis, N"		yes	Amyotrophic lateral sclerosis 19	"2066,ENSG00000178568,ERBB4,HER4,MGC138404,Q15303,p180erbB4"
ERC1	ELKS/RAB6-interacting/CAST family member 1	23085	12:1027904-1490230	1	Yes	12p13.3	yes		"papillary thyroid, Spitzoid tumour"			E	Dom	fusion	T	"RET, ROS1"			"23085,Cast2,ELKS,ENSG00000082805,ERC1,KIAA108,KIAA1081,MGC12974,Q8IUD2,RAB6IP2"
ERCC2	"excision repair cross-complementing rodent repair deficiency, complementation group 2 (xeroderma pigmentosum D)"	2068	19:45351629-45370237	1	Yes	19q13.2-q13.3		yes		"skin basal cell, skin squamous cell, melanoma"	xeroderma pigmentosum (D)	E	Rec	TSG	"Mis, N, F, S"				"2068,COFS2,EM9,ENSG00000104884,ERCC2,MGC102762,MGC126218,MGC126219,P18074,TTD,XPD"
ERCC3	"excision repair cross-complementing rodent repair deficiency, complementation group 3 (xeroderma pigmentosum group B complementing)"	2071	2:127257596-127294081	1	Yes	2q21		yes		"skin basal cell, skin squamous cell, melanoma"	xeroderma pigmentosum (B)	E	Rec	TSG	"Mis, S"				"2071,BTF2,ENSG00000163161,ERCC3,GTF2H,P19447,RAD25,TFIIH,XPB"
ERCC4	"excision repair cross-complementing rodent repair deficiency, complementation group 4"	2072	16:13920166-13948347	1	Yes	16p13.3-p13.13		yes		"skin basal cell, skin squamous cell, melanoma"	xeroderma pigmentosum (F)	E	Rec	TSG	"Mis, N, F"				"2072,ENSG00000175595,ERCC4,Q92889,XPF"
ERCC5	"excision repair cross-complementing rodent repair deficiency, complementation group 5 (xeroderma pigmentosum, complementation group G (Cockayne syndrome))"	2073	13:102846267-102875903	1	Yes	13q33		yes		"skin basal cell, skin squamous cell, melanoma"	xeroderma pigmentosum (G)	E	Rec	TSG	"Mis, N, F"				"2073,COFS3,ENSG00000134899,ERCC5,ERCM2,RP11-484I6_5,UVDR,XPG,XPGC"
ERG	v-ets erythroblastosis virus E26 oncogene like (avian)	2078	21:38383403-38575700	1	Yes	21q22.3	yes		"Ewing sarcoma, prostate, AML"			"M, E, L"	Dom	"oncogene, fusion"	"T, A"	"EWSR1, TMPRSS2, ELF4, FUS, HERPUD1, NDRG1"			"2078,ERG,P11308"
ESR1	estrogen receptor 1	2099	6:151807913-152098966	1	Yes	6q25.1	yes		breast			E	Dom	"oncogene, TSG, fusion"	Mis				"2099,DKFZp686N23123,ENSG00000091831,ER,ESR,ESR1,ESRA,Era,NR3A1,RP1-130E4_1"
ETNK1	ethanolamine kinase 1	55500	12:22625164-22684954	1	Yes	12p12.1	yes		"aCML, CMML, SM-AHD, HES"			L	Dom	TSG	Mis				"55500,EKI,EKI1,ENSG00000139163,ETNK1,Nbla10396,Q9HBU6"
ETV1	ets variant gene 1	2115	7:13895866-13989052	1		7p22	yes		"Ewing sarcoma, prostate"			"M, E"	Dom	"oncogene, fusion"	T	"EWSR1, TMPRSS2, SLC45A3, HMGN2P46, HNRNPA2B1. ACSL3"			"2115,DKFZp781L0674,ENSG00000006468,ER81,ETV1,MGC104699,MGC120533,MGC120534"
ETV4	"ets variant gene 4 (E1A enhancer binding protein, E1AF)"	2118	17:43528519-43545617	1		17q21	yes		"Ewing sarcoma, prostate carcinoma"			"M, E"	Dom	"oncogene, fusion"	T	"EWSR1, TMPRSS2, DDX5, KLK2, CANT1"			"2118,E1A-F,E1AF,ENSG00000175832,ETV4,PEA3,PEAS3"
ETV5	ets variant gene 5	2119	3:186048639-186105868	1		3q28	yes		prostate			E	Dom	"oncogene, fusion"	T	"TMPRSS2, SCL45A3"			"2119,ENSG00000244405,ERM,ETV5,P41161"
ETV6	ets variant gene 6 (TEL oncogene)	2120	12:11650128-11891046	1	Yes	12p13	yes		"congenital fibrosarcoma, multiple different leukaemia and lymphoma tumour types including ALL, secretory breast, MDS"			"L, E, M"	Dom	"TSG, fusion"	T	"NTRK3, RUNX1, PDGFRB, ABL1, MN1, ABL2, ACSL6, CHIC2, ARNT, JAK2, MECOM, CDX2, RNF217-AS1, MNX1, MDS2, PER1, SYK, TTL, FGFR3, PAX5"			"2120,ENSG00000139083,ETV6,P41212,TEL,TEL/ABL"
EWSR1	Ewing sarcoma breakpoint region 1 (EWS)	2130	22:29268337-29300161	1	Yes	22q12	yes		"Ewing sarcoma, desmoplastic small round cell tumour , ALL, clear cell sarcoma, sarcoma, myoepithelioma, mesothelioma"			"L, M, E"	Dom	"oncogene, fusion"	T	"FLI1, ERG, NR4A3, FEV, ATF1, ETV1, ETV4, WT1, ZNF384, CREB1, POU5F1,  PBX1, NFATC1, NFATC2, DDIT3, PATZ1, SMARCA5, SP3, ZNF444, YY1"			"2130,ENSG00000182944,EWS,EWSR1"
EXT1	multiple exostoses type 1 gene	2131	8:117799712-118111046	1		8q24.11-q24.13		yes		"exostoses, osteosarcoma"	multiple exostoses type 1	M	Rec	"TSG, fusion"	"Mis, N, F, S"				"2131,ENSG00000182197,EXT,EXT1,Q16394,ttv"
EXT2	multiple exostoses type 2 gene	2132	11:44107713-44244287	1		11p12-p11		yes		"exostoses, osteosarcoma"	multiple exostoses type 2	M	Rec	TSG	"Mis, N, F, S"				"2132,ENSG00000151348,EXT2,Q93063,SOTV"
EZH2	enhancer of zeste homolog 2	2146	7:148807646-148847298	1		7q35-q36	yes		DLBCL			L	Dom	"oncogene, TSG"	Mis				"2146,ENSG00000106462,ENX-1,EZH2,MGC9169,Q15910"
EZR	ezrin	7430	6:158766914-158818093	1		6q25.3	yes		NSCLC			E	Dom	fusion	T	ROS1			"7430,CVIL,CVL,DKFZp762H157,ENSG00000092820,EZR,FLJ26216,MGC1584,P15311"
FAM131B	"family with sequence similarity 131, member B"	9715	7:143356550-143360093	2		7q34	yes		pilocytic astrocytoma			O	Dom	fusion	T	BRAF			"9715,FAM131B,KIAA0773,Q86XD5"
FAM135B	family with sequence similarity 135 member B	51059	8:138132593-138367983	2		8q24.23	yes		SCLC			E			Mis				"51059,C8ORFK32,ENSG00000147724,FAM135B,MGC126009,MGC126010,MGC33221,Q49AJ0"
FAM46C	"family with sequence similarity 46, member C"	54855	1:117622869-117624044	1		1p12	yes		MM			L	Rec	TSG	"Mis, F, O"				"54855,ENSG00000183508,FAM46C,FLJ20202,Q5VWP2"
FAM47C	family with sequence similarity 47 member C	442444	X:37008411-37011518	2		Xp21.1	yes		"melanoma, clear cell sarcoma of soft parts, SCLC"			"E, M"			Mis				"442444,ENSG00000198173,FAM47C,RP11-31H15_5"
FANCA	"Fanconi anemia, complementation group A"	2175	16:89738601-89816615	1		16q24.3		yes		"AML, leukaemia"	Fanconi anaemia A	L	Rec	TSG	"D, Mis, N, F, S"				"2175,ENSG00000187741,FA,FA-H,FA1,FAA,FACA,FANCA,FANCH,MGC75158"
FANCC	"Fanconi anemia, complementation group C"	2176	9:95101707-95249291	1		9q22.3		yes		"AML, leukaemia"	Fanconi anaemia C	L	Rec	TSG	"D, Mis, N, F, S"				"2176,ENSG00000158169,FA3,FAC,FACC,FANCC,FLJ14675,RP11-80I15_2"
FANCD2	"Fanconi anemia, complementation group D2"	2177	3:10028658-10098950	1	Yes	3p26		yes		"AML, leukaemia"	Fanconi anaemia D2	L	Rec	TSG	"D, Mis, N, F"				"2177,DKFZp762A223,ENSG00000144554,FA-D2,FA4,FACD,FAD,FAD2,FANCD,FANCD2,FLJ23826"
FANCE	"Fanconi anemia, complementation group E"	2178	6:35452546-35466345	1		6p21-p22		yes		"AML, leukaemia"	Fanconi anaemia E	L	Rec	TSG	"N, F, S"				"2178,ENSG00000112039,FACE,FAE,FANCE"
FANCF	"Fanconi anemia, complementation group F"	2188	11:22624686-22625810	1		11p15		yes		"AML, leukaemia"	Fanconi anaemia F	L	Rec	TSG	"N, F"				"2188,ENSG00000183161,FAF,FANCF,MGC126856,Q9NPI8"
FANCG	"Fanconi anemia, complementation group G"	2189	9:35074108-35079524	1		9p13		yes		"AML, leukaemia"	Fanconi anaemia G	L	Rec	TSG	"Mis, N, F, S"				"2189,ENSG00000221829,FAG,FANCG,O15287,XRCC9"
FAS	Fas cell surface death receptor	355	10:88990877-89014450	1	Yes	10q24.1	yes		"TGCT, nasal NK/T lymphoma, skin squamous cell carcinoma-burn scar related"			"L, E, O"	Rec	TSG	Mis		yes	Autoimmune lymphoproliferative syndrome	"355,ALPS1A,APO-1,APT1,CD95,ENSG00000026103,FAS,FAS1,FASTM,P25445,TNFRSF6"
FAT1	FAT atypical cadherin 1	2195	4:186588592-186709827	1	Yes	4q35.2	yes	yes	"oral squamous cell, chemorefractory CLL, head and neck, pancreatic acinar cell carcinoma"	pancreatic		"E, L"		TSG	"Mis, N, F, S"				"2195,CDHF7,CDHR8,FAT1,ME5,hFat1"
FAT3	FAT atypical cadherin 3	120114	11:92837714-92891113	2		11q14.3	yes		"SCC, colon adenocarcinoma, gastric adenocarcinoma"			E			Mis				"ENSG00000165323,FAT3"
FAT4	FAT atypical cadherin 4	79633	4:125316412-125491768	1	Yes	4q28.1	yes		"lymphoma, pancreatic, head and neck, melanoma, hepatocellular carcinoma"			"E, L"		TSG	"Mis, N"		yes	"Hennekam lymphangiectasia-lymphedema syndrome 2, Van Maldergem syndrome 2"	"79633,ENSG00000196159,FAT4"
FBLN2	fibulin 2	2199	3:13618090-13637919	2		3p25.1	yes		"breast cancer, colorectal adenocarcinoma"			E		TSG	"Mis, S"				"ENSG00000163520,FBLN2"
FBXO11	F-box protein 11	80204	2:47808118-47839749	1		2p16.3	yes		DLBCL			L	Rec	TSG	"Mis, F, D"				"80204,ENSG00000138081,FBX11,FBXO11,FLJ12673,MGC44383,PRMT9,Q86XK2,UG063H01,VIT1"
FBXW7	"F-box and WD-40 domain protein 7 (archipelago homolog, Drosophila)"	55294	4:152322881-152411803	1	Yes	4q31.3	yes		"colorectal, endometrial, T-ALL"			"E, L"	Rec	TSG	"Mis, N, D, F"				"55294,AGO,CDC4,DKFZp686F23254,ENSG00000109670,FBW7,FBX30,FBXW6,FBXW7,FLJ11071,SEL-10,SEL10"
FCGR2B	"Fc fragment of IgG, low affinity IIb, receptor for (CD32)"	2213	1:161663242-161677553	1	Yes	1q23	yes		ALL			L	Dom	"oncogene, fusion"	T	?			"2213,CD32,CD32B,ENSG00000072694,FCG2,FCGR2,FCGR2B,IGFR2,P31994"
FCRL4	Fc receptor-like 4	83417	1:157575524-157597944	1		1q21	yes		B-NHL			L	Dom	"oncogene, fusion"	T	IGH			"83417,ENSG00000163518,FCRH4,FCRL4,IGFP2,IRTA1"
FEN1	flap structure-specific endonuclease 1	2237	11:61795362-61796504	2		11q12.2		yes		breast cancer		E		TSG					"2237,ENSG00000168496,FEN-1,FEN1,MF1,P39748,RAD2"
FES	"FES proto-oncogene, tyrosine kinase"	2242	15:90885046-90895558	1		15q26.1	yes		"HNSCC, ovarian carcinoma"			E		"oncogene, TSG"	"Mis, F"				"2242,ENSG00000182511,FES,FPS,P07332"
FEV	FEV protein - (HSRNAFEV)	54738	2:218981667-218985075	1		2q36	yes		Ewing sarcoma			M	Dom	"oncogene, fusion"	T	"EWSR1,  FUS"			"54738,ENSG00000163497,FEV,HSRNAFEV,PET-1,Pet-1"
FGFR1	fibroblast growth factor receptor 1	2260	8:38413628-38457446	1	Yes	8p11.2-p11.1	yes		"MPN, NHL, salivary adenoma"			L	Dom	"oncogene, fusion"	T	"BCR, FOP, ZMYM2, CNTRL, PLAG1"	yes	"Pfeiffer syndrome, Kallman syndrome"	"2260,BFGFR,CD331,CEK,ENSG00000077782,FGFBR,FGFR1,FLT2,H2,H3,H4,H5,HBGFR,KAL2,N-SAM,P11362"
FGFR1OP	FGFR1 oncogene partner (FOP)	11116	6:166999414-167039979	1		6q27	yes		"MPN, NHL"			L	Dom	fusion	T	FGFR1			"11116,ENSG00000213066,FGFR1OP,FOP"
FGFR2	fibroblast growth factor receptor 2	2263	10:121479857-121593817	1	Yes	10q26	yes		"gastric, NSCLC, endometrial"			E	Dom	"oncogene, fusion"	Mis		yes	"Crouzon, Pfeiffer, and Apert syndromes"	"2263,BEK,BFR-1,CD332,CEK3,CFD1,ECT1,ENSG00000066468,FGFR2,JWS,K-SAM,KGFR,TK14,TK25"
FGFR3	fibroblast growth factor receptor 3	2261	4:1793935-1807262	1	Yes	4p16.3	yes		"bladder, MM, T-cell lymphoma"			"L, E"	Dom	"oncogene, fusion"	"Mis, T"	"IGH, ETV6"	yes	"Hypochondroplasia, Thanatophoric dysplasia"	"2261,ACH,CD333,CEK2,ENSG00000068078,FGFR3,HSFGFR3EX,JTK4,P22607"
FGFR4	fibroblast growth factor receptor 4	2264	5:177089603-177097676	1	Yes	5q35.2	yes		rhabdomyosarcoma			M	Dom	oncogene	Mis				"2264,CD334,ENSG00000160867,FGFR4,JTK2,MGC20292,P22455,TKF"
FH	fumarate hydratase	2271	1:241497828-241519722	1		1q42.1		yes		"leiomyomatosis, renal"	hereditary leiomyomatosis and renal cell cancer	"E, M"	Rec	TSG	"Mis, N, F"				"2271,ENSG00000091483,FH,HLRCC,LRCC,MCL,MCUL1,P07954"
FHIT	fragile histidine triad gene	2272	3:59752226-60536962	1	Yes	3p14.2	yes		pleomorphic salivary gland adenoma			E	Dom	"TSG, fusion"	T	HMGA2			"2272,AP3Aase,ENSG00000189283,FHIT,FRA3B,P49789"
FIP1L1	FIP1 like 1 (S. cerevisiae)	81608	4:53377840-53459450	1	Yes	4q12	yes		idiopathic hypereosinophilic syndrome			L	Dom	fusion	T	PDGFRA			"81608,DKFZp586K0717,ENSG00000145216,FIP1L1,Q6UN15"
FKBP9	FK506 binding protein 9	11328	7:32957574-33005351	2		7p14.3	yes		glioma			O			Mis				"11328,DKFZp586B1723,ENSG00000122642,FKBP60,FKBP63,FKBP9,MGC126772,MGC138258,MGC20531,O95302,PPIase"
FLCN	folliculin	201163	17:17213655-17228137	1		17p11.2		yes		"renal, fibrofolliculomas, trichodiscomas"	Birt-Hogg-Dube syndrome	"E, M"	Rec	TSG	"Mis. N, F"				"201163,BHD,ENSG00000154803,FLCL,FLCN,MGC17998,MGC23445"
FLI1	Friend leukemia virus integration 1	2313	11:128694259-128810988	1		11q24	yes		Ewing sarcoma			M	Dom	"oncogene, fusion"	T	EWSR1			"2313,ENSG00000151702,EWSR2,FLI1,Q01543,SIC-1"
FLNA	filamin A	2316	X:154348849-154371245	2		Xq28	yes		phyllodes tumour of the breast			E			"Mis, F, O"				"2316,ABP-280,ABPX,DKFZp434P031,ENSG00000196924,FLN,FLN1,FLNA,FMD,MNS,NHBP,OPD,OPD1,OPD2,XX-FW83128A1_1,filamin A,filaminA"
FLT3	fms-related tyrosine kinase 3	2322	13:28004052-28100510	1	Yes	13q12	yes		"AML, ALL"			L	Dom	oncogene	"Mis, O"				"2322,CD135,ENSG00000122025,FLK2,FLT3,P36888,RP11-153M24_3,STK1"
FLT4	fms-related tyrosine kinase 4	2324	5:180608281-180649545	1	Yes	5q35.3	yes		soft tissue sarcoma			M	Dom	oncogene	A				"2324,ENSG00000037280,FLT4,FLT41,P35916,PCL,VEGFR3"
FNBP1	formin binding protein 1 (FBP17)	23048	9:129890539-130042975	2		9q23	yes		AML			L	Dom	fusion	T	KMT2A			"23048,FNBP1"
FOXA1	forkhead box A1	3169	14:37591365-37594972	1	Yes	14q12-q13	yes		"breast, prostate"			E	Dom	oncogene	"Mis, F"				"3169,ENSG00000129514,FOXA1,HNF3A,MGC33105,P55317,TCF3A"
FOXL2	forkhead box L2	668	3:138945592-138946722	1		3q23	yes		granulosa-cell tumour of the ovary			O	Dom	"oncogene, TSG"	Mis		yes	"Blepharophimosis, ptosis and epicanthus inversus Types I, II; Premature ovarian failure type III"	"668,BPES,BPES1,ENSG00000183770,FOXL2,P58012,PFRK,PINTO,POF3"
FOXO1	forkhead box O1	2308	13:40555680-40666212	1		13q14.1	yes		alveolar rhabdomyosarcoma			M	Dom	"oncogene, TSG, fusion"	T	"PAX3, PAX7"			"2308,ENSG00000150907,FKH1,FKHR,FOXO1,FOXO1A,Q12778"
FOXO3	forkhead box O3	2309	6:108561209-108664855	1		6q21	yes		AL			L	Dom	"oncogene, TSG, fusion"	T	KMT2A			"2309,AF6q21,DKFZp781A0677,ENSG00000118689,FKHRL1,FKHRL1P2,FOXO2,FOXO3,FOXO3A,MGC12739,MGC31925,O43524"
FOXO4	forkhead box O4	4303	X:71096529-71102084	1		Xq13.1	yes		"AL, soft tissue sarcoma"			"L, M"	Dom	"oncogene, TSG, fusion"	T	"KMT2A, CIC"			"4303,AFX1,ENSG00000184481,FOXO4,MLLT7,P98177"
FOXP1	forkhead box P1	27086	3:70959247-71198381	1		3p14.1	yes		ALL			L	Dom	"oncogene, fusion"	T	PAX5			"12CC4,27086,ENSG00000114861,FLJ23741,FOXP1,HSPC215,MGC12942,MGC88572,MGC99551,QRF1,hFKH1B"
FOXR1	forkhead box R1	283150	11:118971932-118981236	2		11q23.3	yes		neuroblastoma			O		"oncogene, fusion"	T				"283150,DLNB13,ENSG00000176302,FOXN5,FOXR1,MGC149486"
FSTL3	follistatin-like 3 (secreted glycoprotein)	10272	19:676425-681709	1		19p13	yes		B-CLL			L	Dom	"oncogene, fusion"	T	CCND1			"10272,ENSG00000070404,FLRG,FSTL3,O95633"
FUBP1	far upstream element (FUSE) binding protein 1	8880	1:77949146-77979004	1	Yes	1p13.1	yes		oligodendroglioma			O	Rec	oncogene	"F, N"				"8880,ENSG00000162613,FBP,FUBP,FUBP1"
FUS	"fusion, derived from t(12;16) malignant liposarcoma"	2521	16:31180215-31191438	1	Yes	16p11.2	yes		"liposarcoma, AML, Ewing sarcoma, angiomatoid fibrous histiocytoma, fibromyxoid sarcoma"			"M, L"	Dom	"TSG, fusion"	T	"DDIT3, ERG, FEV, ATF1, CREB3L2, CREB3L1, NFATC2"			"2521,CHOP,ENSG00000089280,FUS,FUS-CHOP,FUS1,P35637,TLS,TLS/CHOP"
GAS7	growth arrest-specific 7	8522	17:9917228-10198390	1	Yes	17p	yes		AML*			L	Dom	fusion	T	KMT2A			"8522,ENSG00000007237,GAS7,KIAA0394,MGC1348,MLL/GAS7,O60861"
GATA1	GATA binding protein 1 (globin transcription factor 1)	2623	X:48791110-48794164	1		Xp11.23	yes		megakaryoblastic leukaemia of Downs syndrome			L	Dom	"oncogene, TSG"	"Mis, F"				"2623,ENSG00000102145,ERYF1,GATA1,GF1,NFE1,P15976"
GATA2	GATA binding protein 2	2624	3:128481019-128487031	1		3q21.3	yes		AML (CML blast transformation)			L	Dom	oncogene	Mis				"2624,ENSG00000179348,GATA2,MGC2306,NFE1B,P23769"
GATA3	GATA binding protein 3	2625	10:8055656-8074023	1		10p15	yes		breast			E	Rec	"oncogene, TSG"	"F, N, S"		yes	"HDR syndrome (hypoparathyroidism, sensorineural deafness, and renal disease)"	"2625,ENSG00000107485,GATA3,HDR,MGC2346,MGC5199,MGC5445"
GLI1	GLI family zinc finger 1	2735	12:57463692-57472061	2		12q13.3	yes		"CRC, oesophagus cancer"			E		"oncogene, fusion"	"T, F"		yes	IBD	"2735,ENSG00000111087,GLI,GLI1,P08151"
GMPS	guanine monphosphate synthetase	8833	3:155870871-155937692	2		3q24	yes		AML			L	Dom	fusion	T	KMT2A			"8833,ENSG00000163655,GMPS"
GNA11	"guanine nucleotide binding protein (G protein), alpha 11 (Gq class)"	2767	19:3094652-3121179	1		19p13.3	yes		"uveal melanoma, primary central nervous system melanocytic neoplasms"			"E, O"	Dom	oncogene	Mis				"2767,ENSG00000088256,GNA-11,GNA11"
GNAQ	"guanine nucleotide binding protein (G protein), q polypeptide"	2776	9:77721323-78031235	1		9q21	yes		"uveal melanoma, primary central nervous system melanocytic neoplasms"			"E, O"	Dom	oncogene	Mis				"2776,ENSG00000156052,G-ALPHA-q,GAQ,GNAQ,P50148,RP11-494N1_1"
GNAS	"guanine nucleotide binding protein (G protein), alpha stimulating activity polypeptide 1"	2778	20:58891727-58910829	1		20q13.2	yes		"pituitary adenoma, pancreatic intraductal papillary mucinous neoplasm, fibrous dysplasia"			"E, M"	Dom	oncogene	Mis		yes	"McCune-Albright syndrome; pseudohypoparathyroidism, type IA"	"2778,AHO,C20orf45,ENSG00000087460,GNAS,GNAS1,GNASXL,GPSA,GSA,GSP,Gnas,MGC33735,NESP,NESP55,PHP1A,PHP1B,POH,RP4-543J19_4,SCG6,XL,XL2,XLalphas,dJ309F20_1_1,dJ806M20_3_3"
GOLGA5	"golgi autoantigen, golgin subfamily a, 5  (PTC5)"	9950	14:92797439-92839447	1		14q	yes		"papillary thyroid, Spitzoid tumour"			E	Dom	fusion	T	RET			"9950,ENSG00000066455,GOLGA5,Q8TBA6,golgin-84,ret-II,rfg5"
GOPC	golgi associated PDZ and coiled-coil motif containing	57120	6:117563254-117602288	1		6q21	yes		"glioblastoma, cholangiocarcinoma, borderline ovarian"			"E, O"	Dom	fusion	T	ROS1			"57120,CAL,ENSG00000047932,FIG,GOPC,GOPC1,Q9HD26,dJ94G16_2 PIST"
GPC3	glypican 3	2719	X:133536124-133985449	1	Yes	Xq26.1		yes		Wilms tumour	Simpson-Golabi-Behmel syndrome	O	Rec/X	"oncogene, TSG"	"D, Mis, N, F, S"				"2719,AC002420_1,DGSX,ENSG00000147257,GPC3,OCI-5,P51654,SDYS,SGB,SGBS,SGBS1"
GPHN	gephyrin (GPH)	10243	14:66508529-67180938	1		14q24	yes		AL			L	Dom	fusion	T	KMT2A			"10243,ENSG00000171723,GPHN"
GRIN2A	"glutamate receptor, ionotropic, N-methyl D-aspartate 2A"	2903	16:9763149-10180411	1		16p13.2	yes		"melanoma, colorectal carcinoma, gastric carcinoma, lung carcinoma"			E	Rec	TSG	"Mis, N, F, O"		yes	Focal epilepsy and speech disorder with or without mental retardation	"2903,ENSG00000183454,GRIN2A,NMDAR2A,NR2A,Q12879"
GRM3	glutamate metabotropic receptor 3	2913	7:86765146-86864355	2		7q21.11-q21.12	yes		"melanoma, oral SCC"			E		oncogene	"Mis, A"				"2913,ENSG00000198822,GLUR3,GPRC1C,GRM3,MGLUR3,Q14832,mGlu3"
H3F3A	"H3 histone, family 3A"	3020	1:226064352-226071479	1		1q42.12	yes		glioma			O	Dom	oncogene	Mis				"3020,ENSG00000163041,H3F3,H3F3A,H3_3A,H3_3B,MGC87782,MGC87783,P84243"
H3F3B	"H3 histone, family 3B (H3.3B)"	3021	17:75778595-75779174	1		17q25.1	yes		chondroblastoma			M	Dom	oncogene	Mis				"3021,ENSG00000132475,H3F3,H3F3B,H3_3A,H3_3B,MGC87782,MGC87783,P84243"
HERPUD1	"homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1"	9709	16:56932245-56943290	1		16q12.2-q13	yes		prostate			E	Dom	fusion	T	ERG			"9709,ENSG00000051108,HERP,HERPUD1,KIAA0025,Mif1,Q15011,SUP"
HEY1	hairy/enhancer-of-split related with YRPW motif 1	23462	8:79765188-79767663	1	Yes	8q21	yes		mesenchymal chondrosarcoma			M	Dom	"oncogene, fusion"	T	NCOA2			"23462,CHF-2,CHF2,ENSG00000164683,HERP2,HESR-1,HESR1,HEY1,HRT-1,MGC1274,OAF1"
HIF1A	hypoxia inducible factor 1 alpha subunit	3091	14:61695805-61747085	1	Yes	14q23.2	yes		"endometrioid carcinoma, glioblastoma, colorectal, renal, lung, pancreatic"			"E, O"	Dom	oncogene	"Mis, F, N"				"3091,ENSG00000100644,HIF-1alpha,HIF1-ALPHA,HIF1A,MOP1,PASD8,Q16665"
HIP1	huntingtin interacting protein 1	3092	7:75538172-75738920	1	Yes	7q11.23	yes		"CMML, NSCLC"			"L, E"	Dom	"oncogene, fusion"	T	"PDGFRB, ALK"			"3092,ENSG00000127946,HIP1,ILWEQ"
HIST1H3B	"histone cluster 1, H3b"	8358	6:26031650-26032060	1		6p22.1	yes		glioma			O	Dom	oncogene	Mis				"8358,ENSG00000124693,H3/A,H3/b,H3/c,H3/d,H3/f,H3/h,H3/i,H3/j,H3/k,H3/l,H3F1K,H3FA,H3FB,H3FC,H3FD,H3FF,H3FH,H3FI,H3FJ,H3FK,H3FL,H3_1,H3_f,HIST1H3B,P68431"
HIST1H4I	"histone 1, H4i (H4FM)"	8294	6:27107089-27107660	1		6p21.3	yes		NHL			L	Dom	fusion	T	BCL6			"8294,HIST1H4I,MGC24116,P62805"
HLA-A	"major histocompatibility complex, class I, A"	3105	6:29942554-29945455	1		6p21.3	yes		Spitzoid tumour			E	Dom	fusion	T	ROS1	yes	Carbamazepine-induced hypersensitivity syndrome	"3105,ENSG00000206503,HLA-A,P01892,P04439,P13746,P16188,P30447"
HLF	hepatic leukemia factor	3131	17:55265486-55320880	1		17q22	yes		ALL			L	Dom	"oncogene, fusion"	T	TCF3			"3131,ENSG00000108924,HLF,Q16534"
HMGA1	high mobility group AT-hook 1	3159	6:34240781-34244884	1		6p21	yes		"microfollicular thyroid adenoma, various benign mesenchymal tumours"			"E, M"	Dom	"oncogene, fusion"	T	?			"3159,ENSG00000137309,HMG-R,HMGA1,HMGIY,MGC12816,MGC4242,MGC4854,P17096"
HMGA2	high mobility group AT-hook 2 (HMGIC)	8091	12:65825271-65963292	1		12q15	yes		"lipoma, leiomyoma, pleomorphic salivary gland adenoma"			M	Dom	"oncogene, fusion"	T	"LHFP, RAD51B, LPP, COX6C, ACKR3, NFIB, ALDH2, CCNB1IP1, EBF1, WIF1, FHIT"			"8091,BABL,ENSG00000149948,HMGA2,HMGI-C,HMGIC,LIPO"
HMGN2P46	high mobility group nucleosomal binding domain 2 pseudogene 46	283651	15:-	2		15q21.1	yes		prostate			E	Dom	fusion	T	ETV1			
HNF1A	HNF1 homeobox A	6927	12:120978769-121001192	1		12q24.2	yes	yes	"hepatic adenoma, hepatocellular"	"hepatic adenoma, hepatocellular carcinoma"	familial hepatic adenoma	E	Rec	TSG	"Mis, F"		yes	"Maturity-onset diabetes of the young, TYPE III"	"6927,ENSG00000135100,HNF1,HNF1A,LFB1,MODY3,P20823,TCF1"
HNRNPA2B1	heterogeneous nuclear ribonucleoprotein A2/B1	3181	7:26190125-26200577	1	Yes	7p15	yes		prostate			E	Dom	"oncogene, fusion"	T	ETV1			"3181,ENSG00000122566,HNRNPA2,HNRNPA2B1,HNRNPB1,HNRPA2,HNRPB1,RNPA2,SNRPB1"
HOOK3	hook homolog 3	84376	8:42897132-43018498	1		8p11.21	yes		papillary thyroid			E	Dom	fusion	T	RET			"84376,ENSG00000168172,HOOK3,Q86VS8"
HOXA11	homeo box A11	3207	7:27182796-27185144	1	Yes	7p15-p14.2	yes		CML			L	Dom	"oncogene, TSG, fusion"	T	NUP98			"3207,ENSG00000005073,HOX1,HOX1I,HOXA11,P31270"
HOXA13	homeo box A13	3209	7:27198198-27200077	1		7p15-p14.2	yes		AML			L	Dom	"oncogene, fusion"	T	NUP98			"3209,ENSG00000106031,HOX1,HOX1J,HOXA13,P31271"
HOXA9	homeo box A9	3205	7:27163603-27165457	1		7p15-p14.2	yes		AML*			L	Dom	"oncogene, TSG, fusion"	T	"NUP98, MSI2"			"3205,ENSG00000078399,HOX1,HOX1G,HOXA9,P31269"
HOXC11	homeo box C11	3227	12:53973243-53975414	1		12q13.3	yes		AML			L	Dom	"oncogene, fusion"	T	NUP98			"3227,ENSG00000123388,HOX3H,HOXC11,O43248"
