Gene symbol	Entrez gene ID	Description	RefSeq accession	Molecular class	empty
PPP2R5D	5528	"Protein phosphatase 2 regulatory subunit B (B56), delta"	NP_006236.1	Serine/threonine phosphatase	
PPP2R5D	5528	"Protein phosphatase 2 regulatory subunit B (B56), delta"	NP_851307.1	Serine/threonine phosphatase	
PPP2R5D	5528	"Protein phosphatase 2 regulatory subunit B (B56), delta"	NP_851308.1	Serine/threonine phosphatase	
PPP2R5E	5529	Protein phosphatase 2 regulatory subunit B (B56) epsilon	NP_006237.1	Regulatory/other subunit	
EYA2	2139	Eyes absent 2	NP_742111.1	Transcription regulatory protein;Tyrosine phosphatase	
EYA2	2139	Eyes absent 2	NP_005235.3	Transcription regulatory protein;Tyrosine phosphatase	
EYA2	2139	Eyes absent 2	NP_742108.2	Transcription regulatory protein;Tyrosine phosphatase	
EYA2	2139	Eyes absent 2	NP_742109.1	Transcription regulatory protein;Tyrosine phosphatase	
EYA2	2139	Eyes absent 2	NP_742110.1	Transcription regulatory protein;Tyrosine phosphatase	
EYA3	2140	Eyes absent 3	NP_001981.2	Tyrosine phosphatase	
EYA3	2140	Eyes absent 3	NP_742096.1	Tyrosine phosphatase	
GATA6	2627	GATA binding protein 6	NP_005248.2	Transcription factor	
C21orf33	8209	Chromosome 21 open reading frame 33	NP_004640.2	Unclassified	
C21orf33	8209	Chromosome 21 open reading frame 33	NP_937798.2	Unclassified	
UBE2I	7329	Ubiquitin conjugating enzyme E2I	NP_003336.1	Ubiquitin proteasome system protein	
UBE2I	7329	Ubiquitin conjugating enzyme E2I	NP_919235.1	Ubiquitin proteasome system protein	
UBE2I	7329	Ubiquitin conjugating enzyme E2I	NP_919236.1	Ubiquitin proteasome system protein	
UBE2I	7329	Ubiquitin conjugating enzyme E2I	NP_919237.1	Ubiquitin proteasome system protein	
PTGIS	5740	Prostaglandin I2 synthase	NP_000952.1	Enzyme: Ligase	
ENTPD1	953	Ectonucleoside triphosphate diphosphohydrolase 1	NP_001767.3	Enzyme: Hydrolase	
ENTPD1	953	Ectonucleoside triphosphate diphosphohydrolase 1	NP_001091645.1	Enzyme: Hydrolase	
GNPDA1	10007	Glucosamine-6-phosphate deaminase 1	NP_005462.1	Enzyme: Deaminase	
NAIP	4671	Baculoviral IAP repeat containing 1	NP_004527.2	Unclassified	
NAIP	4671	Baculoviral IAP repeat containing 1	NP_075043.1	Unclassified	
CRY1	1407	CRY1	NP_004066.1	Translation regulatory protein	
PAWR	5074	"PRKC, apoptosis, WT1, regulator"	NP_002574.2	Transcription regulatory protein	
SFRS4	6429	"Splicing factor, arginine/serine-rich 4"	NP_005617.2	RNA binding protein	
SFRS9	8683	SRp30c	NP_003760.1	RNA binding protein	
SFRS6	6431	"Splicing factor, arginine/serine-rich 6"	NP_006266.2	RNA binding protein	
SFRS8	6433	"Splicing factor, arginine/serine-rich 8"	NP_004583.2	RNA binding protein	
SFRS8	6433	"Splicing factor, arginine/serine-rich 8"	NP_689421.1	RNA binding protein	
SOX12	6666	SRY-box 12	NP_008874.2	Transcription factor	
CACNB4	785	Calcium channel voltage dependent beta 4 subunit	NP_000717.2	Voltage gated channel	
CACNB4	785	Calcium channel voltage dependent beta 4 subunit	NP_001005746.1	Voltage gated channel	
CACNB4	785	Calcium channel voltage dependent beta 4 subunit	NP_001005747.1	Voltage gated channel	
CLK1	1195	CDC like kinase 1	NP_004062.2	Dual specificity kinase	
CLK1	1195	CDC like kinase 1	NP_001019817.1	Dual specificity kinase	
CCNH	902	Cyclin H	NP_001230.1	Transcription regulatory protein	
PRMT2	3275	Protein arginine N-methyltransferase 2	NP_996845.1	Enzyme: Methyltransferase	
PRMT2	3275	Protein arginine N-methyltransferase 2	NP_001526.2	Enzyme: Methyltransferase	
TAPBP	6892	Tapasin	NP_003181.3	Chaperone	
TAPBP	6892	Tapasin	NP_757345.2	Chaperone	
TAPBP	6892	Tapasin	NP_757346.2	Chaperone	
RORB	6096	RAR related orphan receptor B	NP_008845.2	Transcription factor	
LIPF	8513	Gastric lipase	NP_004181.1	Enzyme: Lipase	
CCDC6	8030	Coiled coil domain containing 6	NP_005427.2	Unclassified;Cell cycle control protein	
CPT1B	1375	Carnitine palmitoyltransferase 1B	NP_004368.1	Enzyme: Palmitoyltransferase	
CPT1B	1375	Carnitine palmitoyltransferase 1B	NP_689453.1	Enzyme: Palmitoyltransferase	
CPT1B	1375	Carnitine palmitoyltransferase 1B	NP_689451.1	Enzyme: Palmitoyltransferase	
CPT1B	1375	Carnitine palmitoyltransferase 1B	NP_689452.1	Enzyme: Palmitoyltransferase	
CPT1B	1375	Carnitine palmitoyltransferase 1B	NP_001138606.1	Enzyme: Palmitoyltransferase	
CPT1B	1375	Carnitine palmitoyltransferase 1B	NP_001138607.1	Enzyme: Palmitoyltransferase	
CPT1B	1375	Carnitine palmitoyltransferase 1B	NP_001138608.1	Enzyme: Palmitoyltransferase	
CPT1B	1375	Carnitine palmitoyltransferase 1B	NP_001138609.1	Enzyme: Palmitoyltransferase	
NCOA2	10499	TIF2	NP_006531.1	Transcription regulatory protein	
LHX1	3975	LIM homeobox gene 1	NP_005559.2	Transcription factor	
PIAS3	10401	Protein inhibitor of activated STAT3	NP_006090.2	Transcription regulatory protein	
TBX1	6899	T box 1 transcription factor C	NP_542378.1	Transcription factor	
TBX1	6899	T box 1 transcription factor C	NP_005983.1	Transcription factor	
TBX1	6899	T box 1 transcription factor C	NP_542377.1	Transcription factor	
ADARB2	105	RNA dependent adenosine deaminase 3	NP_061172.1	Enzyme: Deaminase	
CHD3	1107	Chromodomain helicase DNA binding protein 3	NP_001005271.2	DNA binding protein	
CHD3	1107	Chromodomain helicase DNA binding protein 3	NP_001005273.1	DNA binding protein	
CHD3	1107	Chromodomain helicase DNA binding protein 3	NP_005843.2	DNA binding protein	
PFAS	5198	Phosphoribosylformylglycinamidine synthase	NP_036525.1	Enzyme: Synthase	
PLCD1	5333	Phospholipase C delta 1	NP_006216.2	Enzyme: Phospholipase	
PLCD1	5333	Phospholipase C delta 1	NP_001124436.1	Enzyme: Phospholipase	
HTR4	3360	Serotonin receptor 4	CAC79538.1	G protein coupled receptor	
HTR4	3360	Serotonin receptor 4	NP_000861.1	G protein coupled receptor	
HTR4	3360	Serotonin receptor 4	NP_955525.1	G protein coupled receptor	
HTR4	3360	Serotonin receptor 4	NP_001035259.1	G protein coupled receptor	
HTR4	3360	Serotonin receptor 4	NP_001035261.1	G protein coupled receptor	
HTR4	3360	Serotonin receptor 4	NP_001035262.1	G protein coupled receptor	
HTR4	3360	Serotonin receptor 4	NP_001035263.1	G protein coupled receptor	
HTR4	3360	Serotonin receptor 4	NP_001035264.1	G protein coupled receptor	
NKX3-2	579	Bagpipe homeobox	NP_001180.1	Transcription factor	
HSPB1	3315	Heat shock protein 27	NP_001531.1	Chaperone	
KCNQ3	3786	Potassium voltage gated channel KQT like subfamily member 3	NP_004510.1	Voltage gated channel	
SC5DL	6309	Delta 5 desaturase	NP_008849.2	Enzyme: Oxidase	
SC5DL	6309	Delta 5 desaturase	NP_001020127.1	Enzyme: Oxidase	
AGRP	181	Agouti related protein	NP_001129.1	Peptide hormone	
AGRP	181	Agouti related protein	NP_015531.1	Peptide hormone	
OVOL1	5017	OVO like 1	NP_004552.2	Transcription regulatory protein	
NELL1	4745	NEL like 1	NP_006148.2	Enzyme: Oxidoreductase	
NELL1	4745	NEL like 1	NP_963845.1	Enzyme: Oxidoreductase	
POLR2H	5437	"RNA polymerase II, polypeptide H"	NP_006223.2	RNA polymerase	
KCNJ12	3768	Potassium inwardly rectifying channel subfamily J member 12	NP_066292.2	Ion channel	
EIF4G2	1982	EIF4G2	NP_001409.1	Translation regulatory protein	
EIF4G2	1982	EIF4G2	NP_001036024.1	Translation regulatory protein	
PSD	5662	Pleckstrin-Sec7 domains protein	NP_002770.3	Unclassified	
ORC5L	5001	"Origin recognition complex, subunit 5-like"	NP_002544.1	DNA binding protein	
ORC5L	5001	"Origin recognition complex, subunit 5-like"	NP_859531.1	DNA binding protein	
PRPF4B	8899	PRP4 pre-mRNA processing factor 4 homolog B	NP_003904.3	Serine/threonine kinase	
PRPF4B	8899	PRP4 pre-mRNA processing factor 4 homolog B	NP_789770.1	Serine/threonine kinase	
SLC15A2	6565	Solute carrier family 15 member 2	NP_066568.3	Membrane transport protein	
CYR61	3491	Cysteine rich angiogenic inducer 61	NP_001545.2	Extracellular matrix protein	
SYMPK	8189	Symplekin	NP_004810.2	Cell junction protein	
DTNB	1838	Dystrobrevin beta	NP_068707.1	Cytoskeletal protein	
DTNB	1838	Dystrobrevin beta	NP_899204.1	Cytoskeletal protein	
DTNB	1838	Dystrobrevin beta	NP_149159.2	Cytoskeletal protein	
DTNB	1838	Dystrobrevin beta	NP_149160.1	Cytoskeletal protein	
DTNB	1838	Dystrobrevin beta	NP_899205.1	Cytoskeletal protein	
NKX6-1	4825	NKX6A	NP_006159.2	Transcription regulatory protein	
RFNG	5986	Radical fringe homolog	BAC04269.1	Secreted polypeptide	
RFNG	5986	Radical fringe homolog	NP_002908.1	Secreted polypeptide	
MCM4	4173	DNA replication licensing factor MCM4	NP_005905.2	DNA binding protein	
MCM4	4173	DNA replication licensing factor MCM4	NP_877423.1	DNA binding protein	
CCBP2	1238	CC chemokine receptor D6	NP_001287.2	G protein coupled receptor	
NFATC4	4776	NFAT3	NP_004545.2	Transcription factor	
NFATC4	4776	NFAT3	NP_001129494.1	Transcription factor	
KRT83	3889	Keratin hair basic 3	NP_002273.3	Cytoskeletal protein	
KRT84	3890	KRTHB4	NP_149034.2	Structural protein	
HCN1	348980	HCN1	NP_066550.2	Voltage gated channel	
HIST1H2AK	8330	H2A histone family member D	NP_003501.1	DNA binding protein	
FHL3	2275	Four and a half LIM domains 3	NP_004459.2	Transcription regulatory protein	
HIST1H2AJ	8331	H2A histone family member E	NP_066544.1	DNA binding protein	
HIST1H2AL	8332	H2A histone family member I	NP_003502.1	DNA binding protein	
HIST1H2AC	8334	H2A histone family member L	NP_003503.1	DNA binding protein	
HIST1H2AB	8335	H2A histone family member M	NP_003504.2	DNA binding protein	
HIST1H2AM	8336	H2A histone family member N	NP_003505.1	DNA binding protein	
HIST2H2AC	8338	H2A histone family member Q	NP_003508.1	DNA binding protein	
KIF5A	3798	Kinesin family member 5A	NP_004975.2	Motor protein	
HIST1H4I	8294	Histone 4 family member M	NP_003486.1	DNA binding protein	
P2RX5	5026	Purinergic receptor P2X ligand gated ion channel 5	NP_002552.2	Extracellular ligand gated channel	
P2RX5	5026	Purinergic receptor P2X ligand gated ion channel 5	NP_778255.1	Extracellular ligand gated channel	
P2RX5	5026	Purinergic receptor P2X ligand gated ion channel 5	NP_778256.1	Extracellular ligand gated channel	
GPR98	84059	Very large G protein coupled receptor 1b	NP_115495.3	G protein coupled receptor	
SLCO1A2	6579	Solute carrier organic anion transporter family member 1A2	NP_602307.1	Membrane transport protein	
SLCO1A2	6579	Solute carrier organic anion transporter family member 1A2	NP_005066.2	Membrane transport protein	
SLCO1A2	6579	Solute carrier organic anion transporter family member 1A2	NP_066580.1	Membrane transport protein	
MAPK13	5603	MAPK13	NP_002745.1	Serine/threonine kinase	
PDE8A	5151	Phosphodiesterase 8A	NP_002596.1	Enzyme: Phosphodiesterase	
PDE8A	5151	Phosphodiesterase 8A	NP_775656.1	Enzyme: Phosphodiesterase	
PDE8A	5151	Phosphodiesterase 8A	NP_775657.1	Enzyme: Phosphodiesterase	
PDE8A	5151	Phosphodiesterase 8A	NP_775658.1	Enzyme: Phosphodiesterase	
PDE8A	5151	Phosphodiesterase 8A	NP_775659.1	Enzyme: Phosphodiesterase	
PDE9A	5152	Phosphodiesterase 9A	NP_002597.1	Enzyme: Phosphodiesterase	
PDE9A	5152	Phosphodiesterase 9A	NP_001001575.1	Enzyme: Phosphodiesterase	
PDE9A	5152	Phosphodiesterase 9A	NP_001001576.1	Enzyme: Phosphodiesterase	
PDE9A	5152	Phosphodiesterase 9A	NP_001001577.1	Enzyme: Phosphodiesterase	
PDE9A	5152	Phosphodiesterase 9A	NP_001001578.1	Enzyme: Phosphodiesterase	
PDE9A	5152	Phosphodiesterase 9A	NP_001001579.1	Enzyme: Phosphodiesterase	
PDE9A	5152	Phosphodiesterase 9A	NP_001001580.1	Enzyme: Phosphodiesterase	
PDE9A	5152	Phosphodiesterase 9A	NP_001001581.1	Enzyme: Phosphodiesterase	
PDE9A	5152	Phosphodiesterase 9A	NP_001001582.1	Enzyme: Phosphodiesterase	
PDE9A	5152	Phosphodiesterase 9A	NP_001001583.1	Enzyme: Phosphodiesterase	
PDE9A	5152	Phosphodiesterase 9A	NP_001001584.1	Enzyme: Phosphodiesterase	
PDE9A	5152	Phosphodiesterase 9A	NP_001001567.1	Enzyme: Phosphodiesterase	
PDE9A	5152	Phosphodiesterase 9A	NP_001001585.1	Enzyme: Phosphodiesterase	
PDE9A	5152	Phosphodiesterase 9A	NP_001001568.1	Enzyme: Phosphodiesterase	
PDE9A	5152	Phosphodiesterase 9A	NP_001001569.1	Enzyme: Phosphodiesterase	
PDE9A	5152	Phosphodiesterase 9A	NP_001001570.1	Enzyme: Phosphodiesterase	
PDE9A	5152	Phosphodiesterase 9A	NP_001001571.1	Enzyme: Phosphodiesterase	
PDE9A	5152	Phosphodiesterase 9A	NP_001001572.1	Enzyme: Phosphodiesterase	
PDE9A	5152	Phosphodiesterase 9A	NP_001001573.1	Enzyme: Phosphodiesterase	
PDE9A	5152	Phosphodiesterase 9A	NP_001001574.1	Enzyme: Phosphodiesterase	
LEFTY1	10637	LEFTB	NP_066277.1	Unclassified	
NSMAF	8439	Neutral sphingomyelinase activation associated factor	NP_003571.2	Adapter molecule	
NSMAF	8439	Neutral sphingomyelinase activation associated factor	NP_001138244.1	Adapter molecule	
ORC4L	5000	"Origin recognition complex, subunit 4-like  [Homo sapiens]"	NP_002543.2	DNA binding protein	
ORC4L	5000	"Origin recognition complex, subunit 4-like  [Homo sapiens]"	NP_859525.1	DNA binding protein	
ORC4L	5000	"Origin recognition complex, subunit 4-like  [Homo sapiens]"	NP_859526.1	DNA binding protein	
B3GALNT1	8706	"UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 3"	NP_003772.1	Enzyme: Galactosyltransferase	
B3GALNT1	8706	"UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 3"	NP_149357.1	Enzyme: Galactosyltransferase	
B3GALNT1	8706	"UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 3"	NP_149358.1	Enzyme: Galactosyltransferase	
B3GALNT1	8706	"UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 3"	NP_149359.1	Enzyme: Galactosyltransferase	
B3GALNT1	8706	"UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 3"	NP_001033717.1	Enzyme: Galactosyltransferase	
CPN1	1369	"Carboxypeptidase N, serum"	NP_001299.1	Carboxypeptidase	
DOCK2	1794	Dedicator of cytokinesis 2	NP_004937.1	Unclassified	
LMO4	8543	LIM domain only 4	NP_006760.1	Transcription regulatory protein	
CUL3	8452	Cullin 3	NP_003581.1	Ubiquitin proteasome system protein	
RAD17	5884	RAD17	NP_579917.1	Cell cycle control protein	
RAD17	5884	RAD17	NP_579916.1	Cell cycle control protein	
RAD17	5884	RAD17	NP_579919.1	Cell cycle control protein	
RAD17	5884	RAD17	NP_579918.1	Cell cycle control protein	
RAD17	5884	RAD17	NP_002864.1	Cell cycle control protein	
RAD17	5884	RAD17	NP_579920.1	Cell cycle control protein	
RAD17	5884	RAD17	NP_579921.1	Cell cycle control protein	
RAD17	5884	RAD17	NP_579922.1	Cell cycle control protein	
OR1F1	4992	Olfactory receptor family 1subfamily F member 1	NP_036492.1	G protein coupled receptor	
EPB41L2	2037	Erythrocyte membrane protein band 4.1-like 2	NP_001422.1	Cytoskeletal protein	
EPB41L2	2037	Erythrocyte membrane protein band 4.1-like 2	NP_001129026.1	Cytoskeletal protein	
EPB41L2	2037	Erythrocyte membrane protein band 4.1-like 2	NP_001129027.1	Cytoskeletal protein	
SLC22A18AS	5003	Solute carrier family 22 (organic cation transporter) member 1-like antisense	NP_009036.2	Transport/cargo protein	
LSAMP	4045	LAMP	NP_002329.2	Adhesion molecule	
CLEC2B	9976	C type lectin superfamily member 2	NP_005118.2	Adhesion molecule	
AMFR	267	Autocrine motility factor receptor	NP_001135.3	Ubiquitin proteasome system protein	
AMFR	267	Autocrine motility factor receptor	NP_620408.1	Ubiquitin proteasome system protein	
FOXF2	2295	Forkhead box F2	NP_001443.1	Transcription regulatory protein	
PAPSS1	9061	PAPS synthase 1	NP_005434.4	Enzyme: Synthase	
HDAC7	51564	Histone deacetylase 7A	NP_056216.2	Enzyme: Deacetylase	
HDAC7	51564	Histone deacetylase 7A	NP_057680.3	Enzyme: Deacetylase	
HDAC7	51564	Histone deacetylase 7A	NP_001091885.1	Enzyme: Deacetylase	
HDAC7	51564	Histone deacetylase 7A	NP_001091886.1	Enzyme: Deacetylase	
DNAH11	8701	"Dynein, axonemal, heavy chain 11"	NP_003768.2	Motor protein	
USO1	8615	Vesicle docking protein p115	NP_003706.1	Transport/cargo protein	
NPAS1	4861	MOP5	NP_002508.2	Transcription factor	
NPAS2	4862	Neuronal PAS domain protein 2	NP_002509.2	Transcription factor	
PER3	8863	Period circadian protein 3	NP_058515.1	Transcription regulatory protein	
ABCF1	23	ATP binding cassette 50	NP_001081.1	Translation regulatory protein	
ABCF1	23	ATP binding cassette 50	NP_001020262.1	Translation regulatory protein	
CLIP2	7461	Cytoplasmic linker 2	NP_003379.3	Cytoskeletal protein	
CLIP2	7461	Cytoplasmic linker 2	NP_115797.1	Cytoskeletal protein	
CDK17	5128	PCTAIRE protein kinase 2	NP_002586.2	Serine/threonine kinase	
VPS52	6293	Suppressor of actin mutations 2-like	NP_542131.1	Transport/cargo protein	
VPS52	6293	Suppressor of actin mutations 2-like	NP_072047.4	Transport/cargo protein	
RUVBL1	8607	RuvB like 1	NP_003698.1	DNA binding protein	
LDB1	8861	LIM domain binding 1	NP_003884.1	Transcription regulatory protein	
LDB1	8861	LIM domain binding 1	NP_001106878.1	Transcription regulatory protein	
CDC45L	8318	CDC45	NP_003495.1	Cell cycle control protein	
HDAC11	79885	Histone deacetylase 11	NP_079103.2	Transcription regulatory protein	
HDAC11	79885	Histone deacetylase 11	NP_001129513.1	Transcription regulatory protein	
LATS1	9113	LATS1	NP_004681.1	Serine/threonine kinase	
ECM2	1842	Extracellular matrix protein 2	NP_001384.1	Extracellular matrix protein	
EIF4EBP3	8637	eIF4E binding protein 3	NP_003723.1	Translation regulatory protein	
CDS2	8760	CDP-DAG synthase 2	NP_003809.1	Enzyme: Nucleotidyltransferase	
MTMR3	8897	Myotubularin related protein 3	NP_066576.1	Dual specificity phosphatase	
MTMR3	8897	Myotubularin related protein 3	NP_694690.1	Dual specificity phosphatase	
MTMR3	8897	Myotubularin related protein 3	NP_694691.1	Dual specificity phosphatase	
GALNT4	8693	GalNAc-T4	NP_003765.2	Enzyme: Acyltransferase	
YARS	8565	Tyrosyl-tRNA synthetase	NP_003671.1	Enzyme: Ligase	
TRPC4	7223	TRPC4	NP_057263.1	Ion channel	
TRPC4	7223	TRPC4	NP_001129427.1	Ion channel	
TRPC4	7223	TRPC4	NP_001129428.1	Ion channel	
TRPC4	7223	TRPC4	NP_001129429.1	Ion channel	
TRPC4	7223	TRPC4	NP_001129430.1	Ion channel	
TRPC4	7223	TRPC4	NP_003297.1	Ion channel	
MPDZ	8777	Multiple PDZ domain protein	NP_003820.2	Cell junction protein	
MED21	9412	SRB7	NP_004255.2	Transcription regulatory protein	
PHOX2B	8929	Paired like homeobox 2B	NP_003915.2	Transcription factor	
CARM1	10498	Coactivator associated arginine methlytransferase 1	NP_954592.1	Enzyme: Methyltransferase	
KIAA1967	57805	DBC1	NP_066997.3	Calcium binding protein	
KIAA1967	57805	DBC1	NP_954675.1	Calcium binding protein	
SUGT1	10910	SUGT1	AAQ76039.1	Cell cycle control protein;Ubiquitin proteasome system protein	
SUGT1	10910	SUGT1	NP_006695.1	Cell cycle control protein;Ubiquitin proteasome system protein	
SUGT1	10910	SUGT1	NP_001124384.1	Cell cycle control protein;Ubiquitin proteasome system protein	
SCEL	8796	Sciellin	NP_659001.2	Structural protein	
SCEL	8796	Sciellin	NP_003834.3	Structural protein	
NFE2L3	9603	NFE2L3 protein	NP_004280.5	Transcription factor	
ARFGEF1	10565	BIG1	NP_006412.2	Guanine nucleotide exchange factor	
SLC13A2	9058	"Solute carrier family 13, member 2"	NP_003975.1	Membrane transport protein	
SFRP1	6422	Secreted frizzled related protein 1	NP_003003.3	Secreted polypeptide	
SFRP5	6425	Secreted frizzled-related protein 5	NP_003006.2	Secreted polypeptide	
KISS1R	84634	G protein coupled receptor 54	NP_115940.2	G protein coupled receptor	
THOC4	10189	THO Complex subunit 4	NP_005773.3	Chaperone	
IGDCC3	9543	Putative neuronal cell adhesion molecule	NP_004875.2	Unclassified	
DNAJC4	3338	DnaJ (Hsp40) homolog subfamily C member 4	Q9NNZ3	Chaperone	
DNAJC4	3338	DnaJ (Hsp40) homolog subfamily C member 4	NP_005519.2	Chaperone	
SLC22A4	6583	Solute carrier family 22 member 4	NP_003050.2	Membrane transport protein	
SLC27A4	10999	Solute carrier family 27 member 4	NP_005085.2	Membrane transport protein	
SLC27A6	28965	Fatty acid transport protein 6	NP_054750.1	Transport/cargo protein	
SLC27A6	28965	Fatty acid transport protein 6	NP_001017372.1	Transport/cargo protein	
MTHFS	10588	Methenyl-THF synthetase	NP_006432.1	Enzyme: Ligase	
ARPC3	10094	ARP2/3 protein complex subunit p21	NP_005710.1	Cytoskeletal associated protein	
PTTG2	10744	Pituitary tumor transforming gene 2	NP_006598.2	Cell cycle control protein	
CRLF1	9244	Cytokine receptor like factor 1	NP_004741.1	Cytokine receptor	
LBX1	10660	LBX1	NP_006553.2	Transcription factor	
CELSR3	1951	Epidermal growth factor like 1	NP_001398.2	Adhesion molecule	
KLRA1	10748	KLRA1	NP_006602.2	Cell surface receptor	
CTNND2	1501	Delta catenin	NP_001323.1	Adhesion molecule	
SYNJ1	8867	Synaptojanin 1	NP_003886.3	Enzyme: Phosphatase	
SYNJ1	8867	Synaptojanin 1	NP_982271.2	Enzyme: Phosphatase	
HACL1	26061	2 hydroxyphytanoyl CoA lyase	NP_036392.2	Enzyme: Lyase	
FAIM2	23017	Fas apoptotic inhibitory molecule 2	NP_036438.2	Unclassified	
ZRANB2	9406	Zinc finger protein 265	NP_976225.1	RNA binding protein	
ZRANB2	9406	Zinc finger protein 265	NP_005446.2	RNA binding protein	
MTL5	9633	Tesmin	NP_004914.2	Unclassified	
MTL5	9633	Tesmin	NP_001034745.1	Unclassified	
AFF4	27125	AF5Q31	NP_055238.1	Transcription factor	
SCN10A	6336	Sodium channel voltage gated type X alpha polypeptide	NP_006505.2	Voltage gated channel	
PRRG2	5639	Proline rich GLA protein 2	NP_000942.1	Integral membrane protein	
ACSL6	23305	Acyl CoA synthetase long chain family member 6	NP_056071.2	Enzyme: Synthase	
ACSL6	23305	Acyl CoA synthetase long chain family member 6	NP_001009185.1	Enzyme: Synthase	
GNB5	10681	"Guanine nucleotide binding protein, beta 5"	NP_057278.2	G protein	
GNB5	10681	"Guanine nucleotide binding protein, beta 5"	NP_006569.1	G protein	
CYTIP	9595	CYBR	NP_004279.3	Unclassified	
ITSN2	50618	Intersectin 2	NP_006268.2	Adapter molecule	
ITSN2	50618	Intersectin 2	NP_062541.3	Adapter molecule	
ITSN2	50618	Intersectin 2	NP_671494.2	Adapter molecule	
SLC1A7	6512	Solute carrier family 1 member 7	NP_006662.3	Membrane transport protein	
PPP1R13L	10848	RelA-associated inhibitor	NP_006654.2	Translation regulatory protein	
PPP1R13L	10848	RelA-associated inhibitor	NP_001135974.1	Translation regulatory protein	
ICOS	29851	Inducible T cell costimulator	NP_036224.1	Cell surface receptor	
AKAP2	11217	A kinase anchor protein 2	NP_009134.1	Anchor protein	
AKAP2	11217	A kinase anchor protein 2	NP_001004065.2	Anchor protein	
AKAP2	11217	A kinase anchor protein 2	NP_001130034.1	Anchor protein	
TM9SF2	9375	TM9SF2	NP_004791.1	Integral membrane protein	
WDR1	9948	WD repeat protein 1	NP_059830.1	Unclassified	
WDR1	9948	WD repeat protein 1	NP_005103.2	Unclassified	
CCR9	10803	Chemokine (C-C motif) receptor 9	NP_112477.1	Cell surface receptor	
CCR9	10803	Chemokine (C-C motif) receptor 9	NP_006632.2	Cell surface receptor	
RBM39	9584	Splicing factor HCC1	NP_909125.1	RNA binding protein;Transcription regulatory protein	
RBM39	9584	Splicing factor HCC1	NP_909122.1	RNA binding protein;Transcription regulatory protein	
RBM39	9584	Splicing factor HCC1	NP_004893.1	RNA binding protein;Transcription regulatory protein	
RBM39	9584	Splicing factor HCC1	NP_909129.1	RNA binding protein;Transcription regulatory protein	
RBM39	9584	Splicing factor HCC1	NP_909132.1	RNA binding protein;Transcription regulatory protein	
DCLK1	9201	Doublecortin and CaM kinase like 1	NP_004725.1	Serine/threonine kinase	
DDAH1	23576	Dimethylarginine dimethylaminohydrolase 1	NP_036269.1	Enzyme: Hydrolase	
DDAH1	23576	Dimethylarginine dimethylaminohydrolase 1	NP_001127917.1	Enzyme: Hydrolase	
DDAH2	23564	Dimethylarginine dimethylaminohydrolase 2	NP_039268.1	Enzyme: Hydrolase	
SOX13	9580	SOX 13 protein	AAC83687.1	Transcription factor	
SOX13	9580	SOX 13 protein	NP_005677.2	Transcription factor	
ZNF234	10780	Zinc finger protein 234	NP_006621.1	Transcription factor	
ZNF234	10780	Zinc finger protein 234	NP_001138296.1	Transcription factor	
ARHGEF12	23365	Rho guanine nucleotide exchange factor 12	NP_056128.1	Guanine nucleotide exchange factor	
TRPA1	8989	ANKTM1	NP_015628.2	Ion channel	
HLA-DRB5	3127	HLADRB5	NP_002116.2	MHC complex protein	
CTNNAL1	8727	Catenin alpha like 1	NP_003789.1	Unclassified	
HOMER1	9456	Homer 1	NP_004263.1	Adapter molecule	
FEZ1	9638	Fasciculation and elongation protein zeta 1 (zygin I)	NP_005094.1	Unclassified	
FEZ1	9638	Fasciculation and elongation protein zeta 1 (zygin I)	NP_072043.1	Unclassified	
FEZ2	9637	Fasciculation and elongation protein zeta 2	NP_005093.2	Unclassified	
FEZ2	9637	Fasciculation and elongation protein zeta 2	NP_001036013.1	Unclassified	
SLCO1B1	10599	"Solute carrier organic anion transporter family, member 1B1"	NP_006437.3	Membrane transport protein	
HS2ST1	9653	Heparan sulfate 2-O-sulfotransferase 1	NP_036394.1	Enzyme: Sulphotransferase	
HS2ST1	9653	Heparan sulfate 2-O-sulfotransferase 1	NP_001127964.1	Enzyme: Sulphotransferase	
TNIP1	10318	TNFAIP3 interacting protein 1	NP_006049.3	Anchor protein	
NFKBIZ	64332	Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor zeta	NP_113607.1	Transcription regulatory protein	
NFKBIZ	64332	Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor zeta	NP_001005474.1	Transcription regulatory protein	
ERRFI1	54206	Mitogen inducible gene 6 protein	NP_061821.1	Cytoskeletal protein	
NME6	10201	Nucleoside diphosphate kinase 6	NP_005784.1	Enzyme: Phosphotransferase	
SLC12A6	9990	Solute carrier family 12 member 6	AAD39742.1	Membrane transport protein	
SLC12A6	9990	Solute carrier family 12 member 6	NP_005126.1	Membrane transport protein	
SLC12A6	9990	Solute carrier family 12 member 6	NP_001035959.1	Membrane transport protein	
SLC12A6	9990	Solute carrier family 12 member 6	NP_001035960.1	Membrane transport protein	
